"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,854.126,897.716,916.519,917.106,951.837,981.02,1016.421,1045.954,1010.053,1015.403,1091.002,1175.114,1240.992,1344.301,1518.805,1464.251,1526.494,1682.955,1792.041,1847.201,1975.465,2095.963,2151.267,2201.073,2316.544,2441.731,2578.552,2718.968,2870.197
Niger,461.461,386.192,346.882,299.592,234.733,223.986,286.747,325.893,322.586,298.892,329.645,299.573,291.834,267.092,181.67,197.222,204.042,181.717,200.646,188.226,159.262,164.117,180.912,223.506,237.287,263.809,275.521,312.751,382.36,368.278,378.205,410.743,431.37,462.028,481.612,409.215,411.786,420.75,446.944,465.502,489.734,511.594,535.223
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,686.475,645.45,546.094,577.535,792.81,1273.271,1618.287,1713.375,1861.065,496.495,570.17,598.294,748.313,797.64,982.976,1245.073,1591.326,1822.793,2234.359,1958.577,2365.013,2582.57,2797.857,3042.045,3268.391,2763.196,2207.861,2092.465,2376.069,2692.285,2876.825,2901.871,2929.739
Norway,15748.327,15486.751,15197.896,14907.06,14974.233,15732.935,18858.18,22447.277,24145.36,24248.735,28188.515,28521.828,30445.406,27808.672,29227.795,34793.767,37225.39,36565.445,34720.82,36285.346,38067.181,38504.481,42975.498,49775.554,57444.592,66643.385,73930.326,84904.366,96499.702,79786.852,87309.304,100171.698,101169.347,102573.674,96643.942,74264.426,70553.114,73615.153,75340.68,76817.735,77759.688,78620.84,79407.462
Oman,4674.158,5251.796,5511.013,5363.943,5517.445,6129.262,4548.894,4488.958,4362.987,4605.052,6340.579,5937.811,6292.724,6102.734,6116.095,6355.352,6865.035,6965.271,6037.819,6605.988,8120.784,7961.283,8108.778,8565.339,9635.915,11873.272,13938.319,15436.942,21866.435,16785.076,20327.064,22699.872,23304.571,21963.052,21802.605,18485.319,16535.06,17406.011,17664.184,18263.502,18541.559,18826.422,19149.456
Pakistan,384.903,442.248,469.603,426.343,450.315,438.242,436.97,445.062,500.318,508.699,496.018,551.238,565.908,583.723,573.819,654.036,666.473,641.578,624.132,617.625,583.324,557.617,545.551,614.479,705.69,776.731,875.399,935.295,1032.658,993.401,1026.63,1212.188,1241.678,1259.566,1312.427,1424.954,1440.967,no data,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7728.193,8235.075,8348.193,8094.724,8813.909,9611.014,9790.858,10064.136,10358.132,10028.382,10024.866,11148.052,12329.9,13005.322,13917.02,16642.529,17175.453,17570.489,18720.399,19756.508,20550.681,21169.236,21806.409
Panama,2038.172,2252.051,2429.949,2437.808,2487.416,2573.287,2616.159,2571.627,2176.564,2137.259,2276.276,2450.196,2726.974,2916.29,3046.035,3050.717,3524.097,3731.099,3963.406,4070.418,4046.456,4029.975,4106.466,4244.176,4565.096,4886.41,5315.835,6029.794,6931.115,7387.086,7896.911,9230.782,10549.088,11648.737,12563.85,13113.709,13670.341,14409.297,15312.828,16361.804,17444.306,18474.995,19561.126
Papua New Guinea,1404.853,1342.349,1244.662,1215.43,1098.366,992.937,1057.889,1180,1592.381,1480.334,1287.934,1469.255,1573.472,1743.474,1866.89,1609.132,1668.285,1553.999,1158.158,1030.838,1025.035,877.089,850.612,1012.581,1111.442,1264.811,1403.678,1576.142,1883.501,1833.075,2158.03,2614.283,2971.305,2894.188,3002.208,2712.043,2588.935,2689.737,2784.57,2831.139,2891.08,2921.259,2805.094
Paraguay,1299.661,1608.463,1636.527,1762.992,1390.886,1154.145,1335.761,1084.695,1392.417,977.835,1185.277,1585.242,1592.055,1580.207,1681.396,1897.134,2008.188,2003.578,1778.165,1620.56,1550.954,1422.953,1153.255,1179.927,1413.95,1511.246,1811.41,2308.914,3047.44,2582.971,3199.475,3944.459,3806.712,4416.189,4638.74,4038.42,4003.281,4138.768,4332.325,4518.494,4723.08,4928.332,5137.978
Peru,1165.208,1373.516,1332.89,1012.055,1019.117,861.88,1264.141,2041.316,1580.061,1909.078,1301.889,1532.415,1565.544,1516.372,1904.883,2233.439,2281.698,2364.128,2233.585,1989.187,2023.431,2016.355,2094.815,2236.925,2488.821,2754.344,3179.679,3622.198,4242.895,4158.465,5008.68,5669.168,6280.253,6492.244,6592.323,6174.07,6203.656,6598.46,6892.217,7227.639,7579.703,7937.918,8302.343
Philippines,752.815,806.599,819.872,715.13,659.363,627.535,597.839,648.255,723.483,794.104,805.632,806.935,919.701,922.189,1062.278,1200.429,1276.661,1240.769,958.16,1077.999,1051.973,970.377,1013.424,1024.77,1093.48,1208.934,1405.206,1683.688,1940.995,1851.073,2155.409,2379.941,2591.627,2768.891,2841.908,2866.359,2926.6,3022.448,3300.868,3596.771,3919.613,4271.907,4631.641
Poland,1591.91,1494.896,1799.918,2052.913,2038.025,1896.081,1961.676,1687.804,1815.815,1768.606,1625.844,2101.345,2311.094,2347.117,2687.41,3605.161,4058.183,4067.962,4450.329,4339.597,4476.245,4978.051,5195.281,5691.335,6643.229,7974.838,8996.285,11256.831,13909.503,11454.233,12601.908,13886.735,13157.805,13776.85,14336.776,12559.406,12361.266,13429.414,15050.294,15834.728,16687.593,17557.157,18436.488
Portugal,3334.965,3304.986,3101.535,2841.631,2599.399,2716.478,3772.506,4718.593,5525.321,5967.66,7941.028,9010.203,10841.258,9530.897,9970.959,11791.395,12188.042,11598.395,12220.992,12491.233,11536.132,11739.245,12927.918,15802.943,18070.016,18817.159,19838.811,22811.56,24933.171,23122.556,22580.666,23217.343,20588.885,21625.482,22112.525,19221.872,19820.783,20575.028,21662.661,22495.16,23329.384,24030.306,24721.5
Puerto Rico,4507.15,4940.784,5146.929,5257.186,5777.438,6058.641,6495.499,6987.398,7579.339,8094.29,8675.576,9093.48,9687.443,10255.532,10942.949,11667.589,12305.024,12968.394,14430.159,15293.182,16192.127,18243.709,18972.77,19820.208,20988.989,21959.317,22935.951,23664.874,24898.335,25768.726,26435.742,27278.853,27944.742,28513.15,28981.343,29688.571,30790.105,30728.814,30586.297,30664.673,30697.247,30700.879,30779.861
Qatar,31999.31,32677.158,26613.591,21147.403,20551.617,18201.415,13677.704,13828.961,12749.102,12967.628,15446.332,14189.043,15616.953,14546.04,14894.69,16238.346,17677.59,21337.1,18633.92,21660.445,29914.266,28666.61,30748.535,35644.406,44051.659,54228.833,62920.646,69166.962,74189.292,59683.144,72953.444,96827.857,101933.117,99180.39,93054.141,67537.189,59513.907,60811.857,65158.597,68254.576,72563.366,77311.158,82665.988
Romania,2065.221,2466.043,2456.844,2138.766,1721.254,2115.458,2278.867,2534.073,2609.661,2329.567,1652.369,1249.01,853.108,1154.672,1325.482,1573.126,1575.497,1581.753,1897.422,1611.132,1669.978,1817.045,2118.572,2768.119,3541.52,4662.669,5811.44,8124.686,10160.351,8220.819,8277.343,9213.938,8542.086,9568.363,10000.584,8934.012,9493.419,10372.142,11817.37,12754.027,13599.857,14417.044,14586.88
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6723.5,5823.203,619.869,1330.054,2004.407,2271.31,2842.858,2944.467,1975.972,1432.661,1905.949,2259.023,2556.64,3197.688,4408.374,5713.361,7420.484,9753.262,12468.379,9178.45,11445.128,14326.069,15425.314,16022.652,14388.004,9521.081,8945.644,10248.238,10630.196,11082.166,11565.756,12092.101,12678.335
Rwanda,270.525,296.19,304.582,313.504,293.235,336.894,368.93,395.849,409.149,413.152,385.963,276.23,292.942,301.087,206.465,226.63,248.486,319.386,312.589,262.564,229.235,209.117,199.452,213.955,240.034,292.544,350.166,415.848,511.931,554.593,577.411,636.44,696.73,709.745,728.143,732.372,729.093,754.139,776.205,793.524,832.331,890.933,953.66
Saint Kitts and Nevis,1338.747,1609.725,1847.251,1829.835,2144.801,2405.901,2851.256,3288.904,3927.146,4392.555,4970,4913.394,5387.072,5807.473,6409.03,6820.247,7192.189,8003.32,8247.12,8648.832,9223.928,9966.614,10283.095,9760.384,10378.359,11053.698,12770.846,13355.959,14462.697,13983.972,13466.828,14212.347,13689.892,14514.722,15429.859,15765.53,15991.469,16490.507,17210.183,17922.4,18639.491,19324.051,20035.761
Saint Lucia,1289.921,1448.855,1343.491,1425.144,1790.126,1994.652,2334.374,2543.119,2857.783,3178.999,3687.27,3855.113,4167.85,4202.004,4312.926,4512.772,4586.512,4599.403,4930.032,5117.932,5145.502,4930.401,4948.817,5414.845,5762.67,6067.239,6816.6,7588.864,7527.786,7667.116,8336.661,8590.065,8496.014,8726.047,9009.44,9513.907,9600.72,9780.167,10072.018,10380.115,10620.666,10863.894,11121.555
Saint Vincent and the Grenadines,843.533,1037.522,1146.977,1222.857,1339.866,1433.747,1570.863,1701.149,1929.347,2047.706,2274.42,2392.789,2610.526,2689.605,2719.644,2969.99,3116.21,3270.011,3513.884,3675.552,3728.551,4047.314,4327.554,4494.099,4847.173,5091.592,5623.323,5973.546,6366.698,6172.788,6224.215,6171.478,6318.543,6569.786,6617.944,6865.646,6991.78,7395.661,7706.616,8056.957,8412.102,8787.205,9163.192
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1613.013,1469.932,1511.677,1516.881,1595.803,1876.744,2280.71,2633.305,2775.164,3038.858,3634.995,3170.109,3430.856,3939.695,4233.328,4219.066,4178.979,4147.726,4024.46,4283.064,4386.172,4500.372,4635.41,4772.305,4921.672
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84866.189,71851.436,64631.162,61595.493,53682.262,55623.088,54768.339,46185.015,46433.215,47302.145,49419.923,50541.302,51616.376,52438.779,53232.504
Saudi Arabia,17655.143,18832.057,14912.742,11972.192,10558.766,8732.74,6955.053,6524.159,6398.839,6583.29,7734.975,8280.176,8077.765,7686.005,7626.36,7893.422,8527.666,8706.354,7525.303,8092.7,9256.541,8778.391,8822.507,9800.529,11467.097,14068.219,15603.985,16666.626,20157.298,16094.678,19112.694,23654.865,25208.162,24892.99,24580.472,21094.592,20364.999,20957.21,21453.061,21764.39,22148.086,22636.655,22763.824
Senegal,620.18,547.439,521.174,451.829,427.953,454.857,624.313,728.6,699.076,668.777,755.992,722.347,751.486,689.674,457.483,560.135,566.684,509.895,538.859,535.573,475.969,482.486,515.186,643.88,733.28,773.994,809.034,949.864,1098.852,1017.737,999.294,1077.191,1032.986,1045.908,1044.91,903.631,943.326,998.201,1079.8,1144.729,1210.153,1274.596,1333.112
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2925.927,2300.699,1507.679,1238.888,1640.945,2156.887,2836.54,3315.331,3504.295,4145.034,5486.489,6688.951,5820.469,5353.561,6424.028,5656.261,6351.684,6199.12,5237.254,5347.607,5599.613,6052.239,6470.94,6961.17,7469.278,8011.786
Seychelles,2326.824,2392.247,2296.719,2280.452,2338.076,2588.553,3165.945,3638.988,4128.118,4407.201,5302.844,5314.655,6128.346,6559.088,6555.429,6748.825,6583.091,7280.929,7715.784,7747.491,7578.829,7663.083,8431.923,8524.935,10176.659,11093.314,12014.418,12155.702,11480.433,9707.265,10805.099,11647.017,11999.897,14762.223,14701.368,14782.718,15234,15658.062,16312.56,17116.339,17943.981,18871.808,19743.963
Sierra Leone,511.001,534.594,588.76,500.104,575.332,480.032,351.651,299.783,481.128,431.779,234.503,280.821,246.118,281.104,336.743,324.087,350.591,315.712,247.657,242.365,227.305,252.367,278.186,292.814,291.951,322.093,356.824,398.598,453.958,435.01,448.198,501.655,635.889,805.265,803.361,672.891,577.133,593.903,616.842,648.236,688.89,735.373,786.392
Singapore,5003.793,5678.783,6003.197,6712.848,7156.011,6782.808,6864.402,7788.302,9316.091,10711.19,12766.104,14504.262,16135.925,18301.553,21577.839,24936.399,26262.699,26387.393,21825.948,21796.631,23793.284,21577.492,22016.985,23574.032,27404.197,29870.333,33579.421,39223.538,39722.148,38577.168,46569.395,53167.695,54432.198,56028.795,56338.295,53628.762,52960.558,53880.128,55231.38,56679.156,58229.043,59877.038,61623.933
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2561.138,2938.648,3696.547,3989.983,4069.762,4232.73,3864.179,3832.551,3976.091,4620.684,6330.039,8027.21,9129.071,10683.494,14349.919,18048.518,16567.18,16634.711,18223.682,17294.62,18205.883,18633.719,16105.146,16498.533,17491.098,19128.148,20239.37,21330.877,22386.105,23451.584
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9603.574,8326.915,8436.809,10708.503,10798.914,10557.771,11157.679,11497.619,10286.019,10501.86,11837.077,14905.978,17282.618,18222.58,19777.132,23959.166,27784.009,24785.048,23499.587,25040.519,22563.157,23378.09,24251.424,20890.303,21668.088,23276.502,25329.747,26480.793,27488.652,28435.113,29402.11
Solomon Islands,767.971,786.877,757.961,689.407,669.398,592.013,512.757,523.77,579.556,552.165,667.386,687.074,789.67,858.033,1057.21,1195.439,1279.776,1303.398,1083.907,1116.023,923.443,897.552,744.05,704.085,793.967,915.158,980.042,1048.642,1207.902,1160.785,1293.864,1733.71,1935.74,2010.288,2042.088,1971.553,2053.167,2074.15,2187.815,2272.884,2362.968,2462.604,2570.228
South Africa,2853.526,2865.01,2561.74,2783.1,2400.34,1792.065,2003.023,2570.271,2704.735,2753.513,3140.342,3289.043,3481.424,3390.848,3446.835,3752.377,3499.202,3555.708,3159.393,3087.271,3039.041,2667.886,2520.592,3772.063,4868.694,5412.938,5638.677,6123.957,5802.368,5926.401,7380.612,8083.126,7574.425,6907.234,6512.759,5800.328,5302.043,6089.224,6291.715,6417.943,6576.582,6717.634,6859.74
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1736.429,1084.797,1372.93,1326.349,1049.773,244.468,221.908,223.46,212.541,214.746,230.324,231.68
Spain,6112.881,5368.609,5158.755,4490.713,4460.603,4683.157,6461.294,8167.057,9574.946,10540.022,13649.992,14665.325,15974.757,13376.493,13386.456,15436.956,16057.376,14747.59,15420.702,15774.821,14724.646,15368.514,17083.096,21532.45,24988.982,26550.341,28531.246,32748.087,35724.769,32412.231,30802.845,31867.783,28582.172,29236.041,29663.941,25717.563,26565.15,28212.461,30689.486,32023.786,33241.817,34304.619,35399.619
Sri Lanka,344.064,353.229,376.604,401.85,466.031,456.508,484.428,499.475,516.863,513.625,582.032,630.274,672.009,709.093,805.992,846.906,917.734,1010.51,1027.582,1017.776,1048.948,993.476,1030.393,1124.232,1216.603,1424.392,1636.504,1858.804,2320.278,2376.826,2779.737,3177.479,3311.994,3576.202,3784.45,3769.526,3788.758,3905.6,4049.347,4336.12,4650.456,4986.481,5340.456
Sudan,530.086,369.485,261.072,346.758,408.275,275.636,357.726,562.608,440.593,758.145,94.93,103.742,123.539,203.045,224.182,260.746,318.884,402.129,379.477,351.18,394.105,413.236,452.679,525.156,622.413,751.375,989.028,1235.145,1430.172,1358.61,1635.071,2058.095,1787.085,1811.406,1906.199,2118.984,2304.109,2917.395,3458.778,3998.931,4567.252,5219.528,5923.837
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1320.196,1434.456,1313.625,1020.848,1133.128,2120.745,2605.667,2750.695,3264.332,2649.744,2712.6,2301.928,2872.138,3335.527,3789.587,4483.534,5208.555,5758.066,6832.947,7394.097,8224.066,8190.699,9194.151,9412.643,9501.109,8767.97,6429.628,6415.721,6922.947,7472.381,7660.521,7818.441,8035.467
Swaziland,2097.981,2041.205,1892.921,1993.501,1626.444,1121.543,1160.748,1484.255,1435.16,1389.487,1579.462,1614.378,1760.625,1769.749,1887.694,2243.968,2092.057,2186.436,1975.231,1913.86,1872.639,1651.67,1511.88,2308.429,2894.585,3255.344,3321.591,3456.578,3254.282,3498.338,4267.041,4572.426,4404.122,4046.013,3890.364,3511.761,3343.139,3513.224,3458.892,3443.183,3471.142,3519.719,3565.389
Sweden,16612.823,15156.848,13376.536,12288.028,12781.744,13348.517,17576.313,21284.589,23953.873,24988.641,29794.082,31082.056,32163.773,24011.351,25646.923,29882.778,32577.733,29896.152,30135.41,30552.044,29251.962,26933.816,29520.926,36889.585,42362.216,42998.836,46088.536,53122.332,55525.761,45998.35,51869.158,59381.87,56915.732,60005.201,58869.07,50319.105,51124.76,53248.143,57782.82,59852.577,61934.65,64069.907,66336.658
Switzerland,18869.568,17196.425,17511.362,17361.292,16534.584,16702.516,23824.84,29653.29,31886.575,30552.462,38665.804,38665.254,39702.904,38246.652,42003.23,48838.991,46768.247,40471.896,41551.801,40667.43,38007.263,38721.83,41561.877,48296.843,53465.441,55129.626,57798.641,63951.284,73111.782,70495.298,74907.679,88905.153,83946.279,85670.722,87132.559,82441.508,80345.623,80836.658,83264.182,84665.284,85996.711,87187.578,88357.076
Syria,1421.836,1763.344,1784.577,1849.427,1839.915,1965.139,2284.039,2823.157,1389.823,800.859,967.145,972.175,983.575,995.061,1060.707,1133.162,1186.162,1080.812,1028.169,1043.174,1202.891,1236.897,1305.087,1208.885,1361.499,1510.392,1726.028,2016.052,2557.211,2557.267,2806.685,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,773.85,931.011,876.128,800.45,812.985,837.601,1143.388,1120.792,922.926,891.971,1050.332,920.765,790.824,1033.018,1058.931,820.617,261.65,351.128,398.575,408.704,415.999,509.442,562.726,665.281,714.975,842.136,881.638,906.449,1117.491,1084.167,1107.873,1273.159,1342.707,1569.619,1760.966,1566.696,1688.935,1749.484,1876.275,1987.046,2105.088,2166.615,2275.849
Taiwan Province of China,2367.425,2692.413,2675.823,2882.402,3203.468,3295.112,4010.111,5325.216,6337.499,7577.046,8178.152,9092.114,10725.702,11200.814,12108.752,13076.007,13596.988,13968.097,12787.258,13768.274,14876.879,13399.467,13715.488,14084.046,15355.67,16503.313,16984.54,17780.925,18102.946,16959.775,19261.667,20911.643,21269.614,21887.992,22638.917,22358.015,22496.997,24226.794,24889.46,25539.139,26346.375,27125.924,27781.188
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.622,121.645,147.923,100.448,183.374,192.58,222.282,177.369,158.555,165.767,186.259,234.147,305.766,333.908,397.991,514.47,696.342,661.001,740.733,836.173,953.315,1046.066,1113.24,926.877,799.826,818.629,790.67,825.817,860.336,896.205,932.54
Tanzania,398.213,462.384,515.824,513.729,454.85,399.694,492.451,236.583,221.861,181.658,138.792,157.932,140.479,125.671,129.715,147.749,179.54,211.07,303.01,363.109,378.494,378.881,383.7,399.475,425.476,450.395,481.665,541.793,671.868,683.856,725.765,765.333,869.991,969.148,1032.343,956.906,979.845,1040.505,1118.254,1195.086,1275.605,1359.651,1448.191
Thailand,718.751,751.856,773.787,835.332,853.682,775.776,840.475,969.076,1159.092,1349.927,1571.257,1777.473,1999.967,2218.556,2494.739,2846.444,3046.665,2475.095,1855.12,2048.054,2028.077,1912.28,2115.383,2377.545,2676.296,2905.795,3378.831,3978.301,4379.527,4207.583,5065.376,5482.397,5850.301,6157.36,5921.087,5799.19,5901.747,6336.34,6744.838,7193.977,7605.917,8016.26,7555.174
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,470.857,517.784,501.275,512.668,1091.413,1786.906,2667.75,2690.432,4059.974,3041.228,3782.802,5268.467,6048.544,4998.14,3491.911,2618.527,2229.985,2189.951,2240.113,2254.701,2297.761,2378.366,2514.305
Togo,439.652,354.44,257.257,238.239,202.958,213.886,324.751,370.372,435.597,415.661,488.069,471.648,484.914,362.494,274.942,353.986,375.579,370.115,338.548,328.718,270.905,270.716,293.186,324.424,366.91,391.537,401.574,429.018,524.44,509.861,497.408,572.551,580.816,623.759,648.186,569.764,590.454,621.831,674.725,707.922,743.418,776.737,814.388
Tonga,802.903,886.55,878.894,853.099,890.429,836.907,999.884,1081.019,1264.565,1523.205,1578.512,1816.713,1868.532,1944.448,2103.954,2199.634,2410.489,2254.233,2012.456,2035.946,1965.571,1775.167,1908.075,2108.806,2454.269,2788.968,2889.027,3142.198,3337.897,3295.282,3792.744,4416.937,4442.354,4303.082,4296.652,3955.504,3956.784,4176.705,4163.955,4357.461,4539.314,4697.905,4838.625
Trinidad and Tobago,5745.642,6341.82,7264.161,6818.353,6711.98,6299.239,4049.11,4014.037,3732.152,3562.085,4147.683,4315.7,4395.648,3752.374,3956.745,4246.372,4577.027,4551.354,4786.925,5382.468,6430.958,6935.687,7049.629,8804.519,10290.539,12323.22,14096.023,16530.033,21187.982,14508.771,16683.987,19053.963,19152.15,19607.86,19325.402,17321.772,15458.762,14784.095,15076.56,15554.665,16158.242,16783.011,17443.239
Tunisia,1497.079,1403.853,1322.492,1335.558,1299.081,1284.111,1324.939,1395.643,1425.118,1399.414,1652.377,1707.369,1999.788,1859.909,1940.878,2194.124,2341.555,2251.425,2336.042,2426.346,2247.944,2286.487,2373.779,2790.098,3139.619,3217.886,3394.251,3805.33,4341.208,4178.686,4176.927,4291.802,4179.909,4248.66,4328.634,3884.354,3748.703,3517.517,3428.771,3565.096,3728.28,3903.894,4094.664
Turkey,2168.666,2148.836,1901.376,1712.832,1627.694,1787.257,1928.024,2192.708,2346.711,2730.183,3747.082,3686.18,3817.294,4259.482,3024.163,3877.104,4095.582,4220.595,4387.308,4019.001,4218.859,3053.282,3589.386,4642.902,5952.828,7277.942,7898.993,9562.904,10691.747,8881.723,10475.569,11140.912,11552.634,12395.391,12022.195,10914.879,10817.406,10434.023,11124.697,11706.893,12282.232,12841.726,13408.734
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,240.542,1343.409,1108.937,1402.545,557.51,618.346,651.124,866.879,1115.674,1523.248,1891.234,2457.861,3022.467,3617.172,4455.431,5343.86,4375.456,4059.96,4479.012,5724.542,6797.734,7480.345,8191.354,6690.38,6622.405,7522.07,8273.359,9045.429,9904.5,10876.295,11965.433
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1661.606,1946.485,2255.915,2229.484,2324.758,2713.056,3053.405,2683.967,3059.159,3687.994,3541.906,3499.048,3459.462,3280.974,3375.481,3618.948,3746.614,3869.186,3989.494,4114.901,4241.144
Uganda,512.2,804.731,541.848,601.022,447.813,396.289,381.127,592.632,591.643,462.395,363.928,183.801,166.503,190.45,266.865,309.747,309.377,326.722,310.18,285.563,273.964,268.065,278.964,278.825,331.993,372.282,406.739,488.914,604.626,628.759,662.223,669.297,752.877,770.183,810.64,710.25,692.191,700.525,730.45,769.005,833.444,847.98,917.735
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,427.863,677.261,740.97,752.339,914.348,1037.893,874.265,664.99,664.376,814.851,919.141,1096.291,1427.279,1909.798,2407.9,3219.884,4095.441,2654.986,2982.814,3589.632,3872.534,3968.797,3095.05,2135.182,2198.835,2458.594,2597.175,2818.218,3049.907,3319.255,3594.879
United Arab Emirates,40014.582,40910.917,35767.654,31690.067,29017.094,27035.998,20533.019,21644.071,18435.195,20478.526,26621.511,25847.406,25960.965,25654.369,25762.53,26394.423,29058.859,29523.485,25897.653,27321.043,34688.979,32621.292,32790.711,35017.312,39304.507,43988.667,44313.586,41472.286,39074.838,30920.447,35075.52,41223.204,42749.513,43232.834,43346.531,37361.172,35383.919,37346.114,38436.084,39342.313,40254.566,41182.093,42034.929
United Kingdom,10671.698,10357.579,9848.571,9381.756,8872.743,9446.621,11491.768,14213.449,17267.426,17508.919,20668.039,21502.564,22119.104,19738.698,21098.89,22759.463,23974.94,26366.878,27769.023,28159.952,27828.377,27296.666,29654.24,34049.76,39871.029,41566.628,44095.768,49973.917,46890.219,38180.568,38737.56,41259.503,41683.665,42452.948,46478.84,43976.416,40049.779,38846.794,40026.48,40800.481,41624.107,42486.189,43411.934
United States,12575.568,13965.773,14410.163,15531.182,17099.348,18231.826,19078.408,20062.657,21442.13,22879.184,23913.764,24365.623,25466.828,26441.648,27755.764,28762.676,30047.314,31553.622,32929.038,34601.722,36432.514,37241.347,38113.892,39591.865,41838.455,44218.306,46351.667,47954.532,48302.283,46909.422,48310.335,49733.884,51403.389,52741.728,54668.078,56436.714,57607.613,59495.336,61687.41,63809.637,65895.68,67990.417,70028.818
Uruguay,3810.865,4224.261,3431.162,1871.395,1768.228,1716.873,2119.542,2637.021,2712.191,2842.578,3289.118,3940.854,4501.823,5213.029,6015.243,6601.537,6974.809,7295.989,7667.105,7193.466,6817.363,6238.214,4073.418,3614.627,4102.584,5189.889,5842.813,6984.815,9029.327,9372.485,11859.898,14054.33,14961.681,16723.447,16572.362,15365.956,15062.145,17252.216,18772.113,19765.596,20829.129,21901.418,23027.666
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,167.182,251.774,292.666,448.126,601.909,616.106,616.901,693.22,550.72,461.374,378.367,392.554,461.222,543.851,638.558,823.976,1038.94,1195.021,1367.125,1560.742,1720.755,1890.466,2064.408,2111.743,2132.711,2128.21,2118.38,2222.459,2331.651,2446.208,2566.393
Vanuatu,1053.849,956.137,930.89,931.689,1111.403,976.747,918.675,989.126,1092.048,1054.904,1141.043,1333.385,1357.696,1277.011,1422.849,1479.565,1511.705,1537.62,1441.112,1435.664,1424.567,1320.599,1314.46,1538.104,1745.051,1845.775,2007.23,2350.978,2653.996,2606.785,2923.25,3230.035,3115.769,3123.977,3103.891,2908.644,2937.915,2976.162,3109.517,3237.947,3354.2,3474.627,3599.378
Venezuela,4671.078,5085.58,5041.589,4883.234,3447.45,3472.186,3488.564,2619.24,3292.792,2378.158,2492.939,2685.293,2968.496,2876.077,2741.979,3559.77,3174.631,3777.785,3973.415,4121.578,4823.961,4965.408,3790.656,3265.553,4309.504,5418.439,6609.949,8133.306,10464.263,8442.837,10316.832,11541.876,11287.303,7869.442,7029.892,7922.703,7620.163,6850.121,6528.463,5736.826,5905.865,5164.273,4821.911
Vietnam,513.965,250.859,326.329,482.44,822.549,251.202,556.019,674.88,365.892,97.158,98.032,113.654,144.149,189.261,230.314,288.874,337.524,361.908,360.925,374.722,401.567,413.342,440.209,489.034,603.668,699.682,796.928,920.463,1154.493,1181.448,1297.226,1532.311,1751.678,1900.243,2048.95,2087.531,2171.831,2306.227,2481.503,2677.309,2881.448,3096.753,3329.182
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1046.183,1158.438,1351.436,1558.429,1919.182,840.832,411.266,418.526,374.911,439.292,539.641,532.421,560.031,597.771,682.148,797.704,881.648,971.326,1171.169,1060.926,1266.787,1302.302,1367.715,1515.946,1574.246,1334.124,937.712,856.409,830.37,905.317,927.587,928.049,944.244
Zambia,718.795,718.743,672.013,562.441,448.532,412.851,276.151,332.268,543.316,561.832,509.752,446.778,424.949,405.587,405.544,410.542,378.71,440.701,352.627,330.283,340.164,376.986,376.468,429.01,530.54,691.785,1030.282,1103.452,1365.692,1134.758,1456.162,1635.546,1724.732,1839.533,1727.026,1310.354,1256.92,1483.69,1537.602,1541.525,1563.468,1607.059,1663.679
